Sep=;
#X1;-673;(-2692)
#Z1;-617;(-2468)
#X2;672;(2688)
#Z2;616;(2464)
#scale;1:4
seed;#;badlands;bamboo_jungle;beach;birch_forest;cherry_grove;cold_ocean;dark_forest;deep_cold_ocean;deep_frozen_ocean;deep_lukewarm_ocean;deep_ocean;desert;eroded_badlands;flower_forest;forest;frozen_ocean;frozen_peaks;frozen_river;grove;ice_spikes;jagged_peaks;jungle;lukewarm_ocean;mangrove_swamp;meadow;mushroom_fields;ocean;old_growth_birch_forest;old_growth_pine_taiga;old_growth_spruce_taiga;pale_garden;plains;river;savanna;savanna_plateau;snowy_beach;snowy_plains;snowy_slopes;snowy_taiga;sparse_jungle;stony_peaks;stony_shore;sunflower_plains;swamp;taiga;warm_ocean;windswept_forest;windswept_gravelly_hills;windswept_hills;windswept_savanna;wooded_badlands
-872853902779743665;46;65009;7189;48317;21547;1503;8182;91760;0;0;115374;157687;107014;24049;6325;96793;1808;210;3238;2255;0;67;19527;99919;0;4597;10694;253381;37843;1166;6615;1530;59296;82085;81893;4476;613;372;552;4898;12681;641;17581;3346;4444;30168;141528;79;0;160;3863;18689
-5898026661995085195;40;48845;5876;56568;47442;692;28452;11565;11678;0;243789;91387;93003;25615;9231;137834;0;510;0;2488;0;1193;19822;182142;9498;11300;12470;164309;30954;0;85;5703;78851;103920;84564;826;0;0;907;0;19948;0;13372;15707;0;27116;56233;890;0;54;311;5814
-5884797338089684343;44;0;23253;66378;36007;10572;49188;38826;9410;0;229136;57164;0;0;4451;160377;122;303;1164;245;0;723;41758;192960;4333;21007;2277;221059;40961;22467;15837;4796;117973;80355;50125;2637;512;14929;2674;9873;11410;2775;11022;18231;13811;38047;3808;7433;0;8335;12240;0
-1964976812417088885;38;687;28811;39028;54685;579;3879;55360;636;0;182822;80498;82016;58;6138;118349;0;885;0;2364;0;1117;66145;251588;12234;3846;1492;183575;62053;0;0;8902;57096;87596;82789;20069;0;0;1714;0;58667;7891;38794;1927;0;0;52309;771;0;0;2977;617
-5776147997079371104;33;0;6290;63017;37182;1699;4887;31321;943;0;95464;248396;0;0;13310;175895;0;0;0;17;0;0;31084;130913;3115;4593;3055;279617;57953;0;0;3004;166896;95658;129345;4954;0;0;0;0;20295;0;4068;19859;3645;1744;0;3542;231;6209;12763;0
-1713338183237762384;40;1181;12420;33532;23468;2156;27772;54295;8385;0;263784;79913;35691;1485;5682;114664;0;1240;0;3204;0;264;35794;187241;11274;13852;15097;139591;20015;18755;18238;3402;100306;95299;78532;3021;0;0;1177;0;28941;104;22711;12687;0;60353;124532;0;0;490;416;0
-4475733604676140363;39;0;14952;54911;29650;860;42152;18931;25725;0;135056;136900;0;0;10232;244443;0;1225;1244;2902;0;0;16172;162612;18864;6768;1533;190960;29984;3791;593;2892;206465;94316;60380;339;0;4363;0;7018;32899;0;5484;5443;35415;42399;0;812;2724;7744;1811;0
-3972737821294198064;46;1630;10786;45627;30671;2188;66291;39384;58562;3522;122179;101264;1296;0;5154;143435;2725;274;2935;3375;0;1427;23590;168108;17165;7594;1688;267213;40572;2966;3643;1740;130547;87421;61454;8621;432;7504;687;28002;52164;0;30988;8808;25022;26251;0;2391;19;3088;10561;0
-1695886734681701678;41;16527;11541;51383;29026;100;11514;27695;337;0;180522;220208;56731;2874;86;149578;0;21;0;315;0;1629;59623;202984;4843;8735;25483;150194;27214;1898;1267;1805;108757;101406;95518;10781;0;0;1439;0;28515;2011;19808;855;0;5752;14331;32;0;0;4688;22938
3051470222520222424;31;0;3572;45011;36403;950;42626;49218;40268;0;146541;226361;0;0;1923;192128;0;0;0;0;0;0;46501;161508;0;12950;675;239204;42641;0;0;2709;122533;80427;95595;11326;0;0;0;0;28714;80;5056;5543;10422;960;0;2653;0;898;5568;0
-2006916583946976539;42;15174;4588;32746;46386;13027;30859;24867;2948;0;150536;194175;31118;2110;12126;168668;0;424;0;4996;0;3599;31222;179398;0;27906;4653;243108;37950;1317;674;8843;141974;87099;51376;6410;0;3;2384;0;19063;1129;27799;18146;122;14659;5908;0;0;149;1765;9560
-2538622814953405720;48;22908;26499;42110;45850;10097;29846;36944;46653;786;58449;194470;5857;7450;5470;165115;4535;6759;241;10087;0;2730;57283;136147;1381;12840;3;230874;33035;7;27;5922;154473;81262;70055;3957;1123;0;8307;277;30392;5122;41422;7102;4498;2732;36448;348;0;1822;4432;6817
-3982026495525649683;47;5622;10517;25229;36497;1258;24954;24359;47797;18085;52013;310184;6250;3603;0;162907;61610;2442;14326;6021;0;286;25088;75682;1343;11349;19944;266334;20409;6864;7283;2795;90981;65334;34396;6363;8148;48292;28;40444;29027;5937;34096;3585;4041;20703;2672;0;0;50;3872;11944
-8976799957256240397;41;19151;6041;46267;51368;1552;21223;76103;12991;0;76517;208112;138711;8033;0;125441;0;1748;0;8044;0;2672;49158;114471;14374;3330;10865;222120;40754;4355;5638;3728;72454;80395;26197;624;0;0;1530;0;28255;0;18420;0;13726;10121;94280;6469;735;4323;4743;25925
5258796989885186811;46;17878;3818;53991;30253;2883;131641;15465;70816;24642;177036;79701;67521;9140;6276;137654;30961;334;9039;137;5529;629;6800;171162;892;8303;0;104896;30674;8257;5902;3554;153187;77814;14405;0;3588;30803;5511;30936;16207;0;8924;14518;2112;18791;62489;4;0;0;1607;4284
388716942837416707;39;38405;949;5462;11488;7415;12181;25418;13041;0;111267;89087;156732;24644;3032;89711;0;3168;0;5934;0;2884;9760;108347;11198;8882;17387;87289;7019;0;3639;2456;68732;63312;23496;2668;0;0;4132;0;6801;1702;39836;9468;0;22871;509653;0;0;0;2116;49382
-1778640377834634475;43;0;15243;29308;41067;5588;9251;97623;0;0;202476;48159;86;0;9371;210967;943;3385;832;18583;0;6098;31465;147873;0;20472;33738;108402;53657;29079;9272;6814;92550;90215;24340;200;216;0;1697;4276;12645;3109;21051;14074;3133;63000;185771;2193;500;1728;514;0
5200250194729370401;42;7236;7235;30187;10029;6338;34325;21301;43353;4568;88415;68514;30207;1478;10230;157795;14363;0;15463;582;0;243;42526;178243;0;16025;0;59208;18260;18748;7265;3938;100252;106388;201110;24614;4462;2490;1207;47386;32921;3402;25367;6696;0;81498;119268;0;0;0;0;7828
8407094604393874228;29;0;8131;67915;70727;6562;1913;90983;0;0;93017;170570;0;0;2483;163885;0;0;0;0;0;0;34699;153873;25172;2290;0;306488;44593;0;0;2730;130423;98715;76070;678;0;0;0;0;37204;0;17802;14495;16445;4846;0;4381;0;5159;8715;0
-6268729206323018943;41;2709;12684;29321;36626;7843;78791;26684;32712;0;164506;141242;29230;0;11347;135678;0;3896;0;6512;0;3534;33535;120913;0;14202;3508;91784;27402;7789;20727;2463;132884;74406;43168;4726;0;0;4756;0;23992;3148;14051;18550;2657;7393;269019;1173;0;134;2010;13259
-3985122720269466808;43;16;2869;33591;35533;6696;37098;28474;4943;0;156219;218633;16553;82;9836;163984;0;4463;0;7700;0;3437;19702;141610;13268;12430;1245;251405;50070;6974;4852;2432;136926;67102;80968;1865;0;0;7717;0;19890;156;34641;7952;32950;4365;15495;1827;0;8097;3059;3839
8901927613451207501;42;29887;24050;30999;15719;6213;20650;22360;21650;0;168184;72688;126330;14975;4249;134613;0;1028;0;1477;0;304;40755;183889;3;5380;7868;59046;14850;3003;1333;8815;113279;94767;78247;3586;0;0;2889;0;29067;1050;29629;10138;0;17558;179025;1871;0;385;911;78244
3533355382648865627;44;0;2065;36560;62395;1220;120321;35485;55743;6378;128472;172708;0;0;1318;165587;8085;437;2271;139;627;0;5332;112797;18975;16640;22869;184944;53059;1805;2257;3235;115094;88055;63081;1195;246;13131;1454;310;5376;0;28672;1520;61176;41647;0;3590;4167;8273;2253;0
2303028259446588254;40;0;5007;51444;42666;6835;26920;35698;2286;0;219511;107506;0;0;11351;203448;0;895;0;5971;0;2430;12403;185238;2104;26093;5905;162803;66444;11450;12991;2146;208498;103657;18312;555;0;28;5309;0;20162;14;21858;11897;501;59301;5;427;0;305;590;0
5255982240118080369;41;656;31943;46965;29344;69;19779;38515;4922;0;198951;181162;13689;0;7433;125255;0;402;0;4960;0;548;58015;189842;1436;14356;24041;174240;11370;0;0;6954;184242;84580;70789;2651;0;0;180;0;40017;1549;16465;5079;3777;1976;53936;125;265;6067;3658;761
6873618931274220414;40;66;116;53727;46853;3863;59333;28991;7075;0;99616;159920;67;0;39010;211891;0;1058;0;2752;0;1997;4069;130987;0;18663;0;274039;30986;21778;14421;8216;159834;94732;9559;632;0;0;2977;0;4342;329;26681;49194;7410;71709;1205;925;3143;4881;3917;0
-7439383634462637152;44;806;6187;41362;35416;227;50934;9302;21253;0;32951;291767;27363;0;7038;211737;0;2067;789;3286;2254;62;49761;97838;1633;1675;9380;198176;46509;2707;16099;4349;124518;96716;88241;18406;0;7707;1837;5436;32248;6406;23263;8739;0;29366;41241;0;0;381;3188;343
2764084271298642876;37;24533;1595;41290;18996;0;8341;19967;358;0;145217;125168;83607;1868;5911;103638;0;69;0;1101;0;0;7027;128863;1286;3117;19301;207158;34069;0;0;2433;60842;71154;88560;3946;0;0;0;0;13617;325;15306;5892;1369;1517;404403;1908;0;0;2201;5011
5399534478240515027;44;0;3160;48762;41625;8882;41603;43284;8058;0;193773;90831;330;0;7942;198969;2356;3185;3405;3504;937;847;33730;177594;0;17275;3322;159831;35732;9836;13444;2748;139186;112823;140439;3681;229;2666;8983;3856;24509;20;17032;11086;61;34802;3908;1638;0;0;1080;0
